// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c
// command took 2.98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c
// command took 8.35s and exited with 0
// ***** Done, took 00:00:11 (11.55 sec)   *****
// Found 4 benchmarks:
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=5]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=10]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=25]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=50]

// **************************
// Benchmark: Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=5]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "20775742-c754-4d47-995c-7108f3b2515c.dll" --benchmarkName "Calculation.Benchmarking.Benchmarking.OneThreaded(Dimension: 5)" --job "IterationCount=5, RunStrategy=Throughput, WarmupCount=5" --benchmarkId 0 in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c/bin/Release/net5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.9 (5.0.921.35908), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ATOGCU(IterationCount=5, RunStrategy=Throughput, WarmupCount=5)

WorkloadPilot    9: 10 op, 251917.00 ns, 25.1917 us/op
WorkloadPilot   10: 11 op, 279209.00 ns, 25.3826 us/op
WorkloadPilot   11: 12 op, 528125.00 ns, 44.0104 us/op
WorkloadPilot   12: 13 op, 566250.00 ns, 43.5577 us/op
WorkloadPilot   13: 14 op, 662000.00 ns, 47.2857 us/op
WorkloadPilot   14: 15 op, 741375.00 ns, 49.4250 us/op
WorkloadPilot   15: 16 op, 488958.00 ns, 30.5599 us/op
WorkloadPilot   16: 32 op, 1684292.00 ns, 52.6341 us/op
WorkloadPilot   17: 64 op, 2427250.00 ns, 37.9258 us/op
WorkloadPilot   18: 128 op, 3353917.00 ns, 26.2025 us/op
WorkloadPilot   19: 256 op, 6558209.00 ns, 25.6180 us/op
WorkloadPilot   20: 512 op, 14268209.00 ns, 27.8676 us/op
WorkloadPilot   21: 1024 op, 24637791.00 ns, 24.0603 us/op
WorkloadPilot   22: 2048 op, 46795625.00 ns, 22.8494 us/op
WorkloadPilot   23: 4096 op, 213784833.00 ns, 52.1936 us/op
WorkloadPilot   24: 8192 op, 161074500.00 ns, 19.6624 us/op
WorkloadPilot   25: 16384 op, 346063375.00 ns, 21.1220 us/op
WorkloadPilot   26: 32768 op, 651635000.00 ns, 19.8863 us/op

WorkloadWarmup   1: 32768 op, 654415750.00 ns, 19.9712 us/op
WorkloadWarmup   2: 32768 op, 643148917.00 ns, 19.6273 us/op
WorkloadWarmup   3: 32768 op, 708599000.00 ns, 21.6247 us/op
WorkloadWarmup   4: 32768 op, 727309083.00 ns, 22.1957 us/op
WorkloadWarmup   5: 32768 op, 756106500.00 ns, 23.0745 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 793489042.00 ns, 24.2154 us/op
WorkloadActual   2: 32768 op, 724432125.00 ns, 22.1079 us/op
WorkloadActual   3: 32768 op, 701054208.00 ns, 21.3945 us/op
WorkloadActual   4: 32768 op, 649772667.00 ns, 19.8295 us/op
WorkloadActual   5: 32768 op, 681972042.00 ns, 20.8121 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 724432125.00 ns, 22.1079 us/op
WorkloadResult   2: 32768 op, 701054208.00 ns, 21.3945 us/op
WorkloadResult   3: 32768 op, 649772667.00 ns, 19.8295 us/op
WorkloadResult   4: 32768 op, 681972042.00 ns, 20.8121 us/op
GC:  33 0 0 69217648 32768
Threading:  98306 5 32768

// AfterAll
// Benchmark Process 4728 has exited with code 0.

Mean = 21.036 μs, StdErr = 0.482 μs (2.29%), N = 4, StdDev = 0.963 μs
Min = 19.829 μs, Q1 = 20.566 μs, Median = 21.103 μs, Q3 = 21.573 μs, Max = 22.108 μs
IQR = 1.006 μs, LowerFence = 19.057 μs, UpperFence = 23.082 μs
ConfidenceInterval = [14.812 μs; 27.260 μs] (CI 99.9%), Margin = 6.224 μs (29.59% of Mean)
Skewness = -0.14, Kurtosis = 1, MValue = 2

// **************************
// Benchmark: Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=25]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "20775742-c754-4d47-995c-7108f3b2515c.dll" --benchmarkName "Calculation.Benchmarking.Benchmarking.OneThreaded(Dimension: 25)" --job "IterationCount=5, RunStrategy=Throughput, WarmupCount=5" --benchmarkId 2 in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c/bin/Release/net5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.9 (5.0.921.35908), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-FCTMQV(IterationCount=5, RunStrategy=Throughput, WarmupCount=5)

OverheadJitting  1: 1 op, 536083.00 ns, 536.0830 us/op
WorkloadJitting  1: 1 op, 180706792.00 ns, 180.7068 ms/op

WorkloadPilot    1: 2 op, 1163084.00 ns, 581.5420 us/op
WorkloadPilot    2: 3 op, 278292.00 ns, 92.7640 us/op
WorkloadPilot    3: 4 op, 225250.00 ns, 56.3125 us/op
WorkloadPilot    4: 5 op, 166250.00 ns, 33.2500 us/op
WorkloadPilot    5: 6 op, 417750.00 ns, 69.6250 us/op
WorkloadPilot    6: 7 op, 570375.00 ns, 81.4821 us/op
WorkloadPilot    7: 8 op, 460083.00 ns, 57.5104 us/op
WorkloadPilot    8: 9 op, 312750.00 ns, 34.7500 us/op
WorkloadPilot    9: 10 op, 524417.00 ns, 52.4417 us/op
WorkloadPilot   10: 11 op, 311250.00 ns, 28.2955 us/op
WorkloadPilot   11: 12 op, 317500.00 ns, 26.4583 us/op
WorkloadPilot   12: 13 op, 469084.00 ns, 36.0834 us/op
WorkloadPilot   13: 14 op, 405500.00 ns, 28.9643 us/op
WorkloadPilot   14: 15 op, 275584.00 ns, 18.3723 us/op
WorkloadPilot   15: 16 op, 358333.00 ns, 22.3958 us/op
WorkloadPilot   16: 32 op, 1478792.00 ns, 46.2122 us/op
WorkloadPilot   17: 64 op, 1661125.00 ns, 25.9551 us/op
WorkloadPilot   18: 128 op, 3790292.00 ns, 29.6117 us/op
WorkloadPilot   19: 256 op, 5942208.00 ns, 23.2117 us/op
WorkloadPilot   20: 512 op, 15400666.00 ns, 30.0794 us/op
WorkloadPilot   21: 1024 op, 28277458.00 ns, 27.6147 us/op
WorkloadPilot   22: 2048 op, 55269291.00 ns, 26.9870 us/op
WorkloadPilot   23: 4096 op, 232265375.00 ns, 56.7054 us/op
WorkloadPilot   24: 8192 op, 159518750.00 ns, 19.4725 us/op
WorkloadPilot   25: 16384 op, 329777125.00 ns, 20.1280 us/op
WorkloadPilot   26: 32768 op, 792630750.00 ns, 24.1892 us/op

WorkloadWarmup   1: 32768 op, 730361709.00 ns, 22.2889 us/op
WorkloadWarmup   2: 32768 op, 705935625.00 ns, 21.5434 us/op
WorkloadWarmup   3: 32768 op, 895989625.00 ns, 27.3434 us/op
WorkloadWarmup   4: 32768 op, 714925750.00 ns, 21.8178 us/op
WorkloadWarmup   5: 32768 op, 778120125.00 ns, 23.7463 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 699080000.00 ns, 21.3342 us/op
WorkloadActual   2: 32768 op, 725424459.00 ns, 22.1382 us/op
WorkloadActual   3: 32768 op, 774055416.00 ns, 23.6223 us/op
WorkloadActual   4: 32768 op, 710784916.00 ns, 21.6914 us/op
WorkloadActual   5: 32768 op, 765805958.00 ns, 23.3705 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 699080000.00 ns, 21.3342 us/op
WorkloadResult   2: 32768 op, 725424459.00 ns, 22.1382 us/op
WorkloadResult   3: 32768 op, 774055416.00 ns, 23.6223 us/op
WorkloadResult   4: 32768 op, 710784916.00 ns, 21.6914 us/op
WorkloadResult   5: 32768 op, 765805958.00 ns, 23.3705 us/op
GC:  33 0 0 69229280 32768
Threading:  98306 11 32768

// AfterAll
// Benchmark Process 4729 has exited with code 0.

Mean = 22.431 μs, StdErr = 0.455 μs (2.03%), N = 5, StdDev = 1.017 μs
Min = 21.334 μs, Q1 = 21.691 μs, Median = 22.138 μs, Q3 = 23.371 μs, Max = 23.622 μs
IQR = 1.679 μs, LowerFence = 19.173 μs, UpperFence = 25.889 μs
ConfidenceInterval = [18.515 μs; 26.348 μs] (CI 99.9%), Margin = 3.916 μs (17.46% of Mean)
Skewness = 0.15, Kurtosis = 0.85, MValue = 2

// **************************
// Benchmark: Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "20775742-c754-4d47-995c-7108f3b2515c.dll" --benchmarkName "Calculation.Benchmarking.Benchmarking.OneThreaded(Dimension: 50)" --job "IterationCount=5, RunStrategy=Throughput, WarmupCount=5" --benchmarkId 3 in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c/bin/Release/net5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.9 (5.0.921.35908), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MEQYCV(IterationCount=5, RunStrategy=Throughput, WarmupCount=5)

OverheadJitting  1: 1 op, 558750.00 ns, 558.7500 us/op
WorkloadJitting  1: 1 op, 205829917.00 ns, 205.8299 ms/op

WorkloadPilot    1: 2 op, 1159625.00 ns, 579.8125 us/op
WorkloadPilot    2: 3 op, 98458.00 ns, 32.8193 us/op
WorkloadPilot    3: 4 op, 259625.00 ns, 64.9062 us/op
WorkloadPilot    4: 5 op, 288292.00 ns, 57.6584 us/op
WorkloadPilot    5: 6 op, 453709.00 ns, 75.6182 us/op
WorkloadPilot    6: 7 op, 294083.00 ns, 42.0119 us/op
WorkloadPilot    7: 8 op, 483834.00 ns, 60.4793 us/op
WorkloadPilot    8: 9 op, 694667.00 ns, 77.1852 us/op
WorkloadPilot    9: 10 op, 501875.00 ns, 50.1875 us/op
WorkloadPilot   10: 11 op, 590917.00 ns, 53.7197 us/op
WorkloadPilot   11: 12 op, 799792.00 ns, 66.6493 us/op
WorkloadPilot   12: 13 op, 873959.00 ns, 67.2276 us/op
WorkloadPilot   13: 14 op, 764125.00 ns, 54.5804 us/op
WorkloadPilot   14: 15 op, 648958.00 ns, 43.2639 us/op
WorkloadPilot   15: 16 op, 622333.00 ns, 38.8958 us/op
WorkloadPilot   16: 32 op, 1003459.00 ns, 31.3581 us/op
WorkloadPilot   17: 64 op, 1942458.00 ns, 30.3509 us/op
WorkloadPilot   18: 128 op, 4172833.00 ns, 32.6003 us/op
WorkloadPilot   19: 256 op, 8657333.00 ns, 33.8177 us/op
WorkloadPilot   20: 512 op, 16293000.00 ns, 31.8223 us/op
WorkloadPilot   21: 1024 op, 31511959.00 ns, 30.7734 us/op
WorkloadPilot   22: 2048 op, 58804042.00 ns, 28.7129 us/op
WorkloadPilot   23: 4096 op, 250932500.00 ns, 61.2628 us/op
WorkloadPilot   24: 8192 op, 192117041.00 ns, 23.4518 us/op
WorkloadPilot   25: 16384 op, 375722917.00 ns, 22.9323 us/op
WorkloadPilot   26: 32768 op, 837450375.00 ns, 25.5570 us/op

WorkloadWarmup   1: 32768 op, 845179417.00 ns, 25.7928 us/op
WorkloadWarmup   2: 32768 op, 721424834.00 ns, 22.0161 us/op
WorkloadWarmup   3: 32768 op, 693606667.00 ns, 21.1672 us/op
WorkloadWarmup   4: 32768 op, 673279458.00 ns, 20.5469 us/op
WorkloadWarmup   5: 32768 op, 683815250.00 ns, 20.8684 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 750215958.00 ns, 22.8948 us/op
WorkloadActual   2: 32768 op, 685718125.00 ns, 20.9265 us/op
WorkloadActual   3: 32768 op, 692971166.00 ns, 21.1478 us/op
WorkloadActual   4: 32768 op, 643350250.00 ns, 19.6335 us/op
WorkloadActual   5: 32768 op, 725645834.00 ns, 22.1450 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 750215958.00 ns, 22.8948 us/op
WorkloadResult   2: 32768 op, 685718125.00 ns, 20.9265 us/op
WorkloadResult   3: 32768 op, 692971166.00 ns, 21.1478 us/op
WorkloadResult   4: 32768 op, 643350250.00 ns, 19.6335 us/op
WorkloadResult   5: 32768 op, 725645834.00 ns, 22.1450 us/op
GC:  33 0 0 69221984 32768
Threading:  98306 2 32768

// AfterAll
// Benchmark Process 4730 has exited with code 0.

Mean = 21.349 μs, StdErr = 0.556 μs (2.60%), N = 5, StdDev = 1.243 μs
Min = 19.633 μs, Q1 = 20.926 μs, Median = 21.148 μs, Q3 = 22.145 μs, Max = 22.895 μs
IQR = 1.218 μs, LowerFence = 19.099 μs, UpperFence = 23.973 μs
ConfidenceInterval = [16.561 μs; 26.138 μs] (CI 99.9%), Margin = 4.788 μs (22.43% of Mean)
Skewness = -0.1, Kurtosis = 1.24, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/Calculation.Benchmarking.Benchmarking-report.csv
  BenchmarkDotNet.Artifacts/results/Calculation.Benchmarking.Benchmarking-report-github.md
  BenchmarkDotNet.Artifacts/results/Calculation.Benchmarking.Benchmarking-report.html

// * Detailed results *
Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=5]
Runtime = .NET 5.0.9 (5.0.921.35908), X64 RyuJIT; GC = Concurrent Workstation
Mean = 19.251 μs, StdErr = 0.085 μs (0.44%), N = 5, StdDev = 0.190 μs
Min = 19.032 μs, Q1 = 19.096 μs, Median = 19.244 μs, Q3 = 19.431 μs, Max = 19.450 μs
IQR = 0.335 μs, LowerFence = 18.593 μs, UpperFence = 19.934 μs
ConfidenceInterval = [18.520 μs; 19.982 μs] (CI 99.9%), Margin = 0.731 μs (3.80% of Mean)
Skewness = -0.01, Kurtosis = 0.85, MValue = 2
-------------------- Histogram --------------------
[18.887 μs ; 19.540 μs) | @@@@@
---------------------------------------------------

Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=10]
Runtime = .NET 5.0.9 (5.0.921.35908), X64 RyuJIT; GC = Concurrent Workstation
Mean = 21.036 μs, StdErr = 0.482 μs (2.29%), N = 4, StdDev = 0.963 μs
Min = 19.829 μs, Q1 = 20.566 μs, Median = 21.103 μs, Q3 = 21.573 μs, Max = 22.108 μs
IQR = 1.006 μs, LowerFence = 19.057 μs, UpperFence = 23.082 μs
ConfidenceInterval = [14.812 μs; 27.260 μs] (CI 99.9%), Margin = 6.224 μs (29.59% of Mean)
Skewness = -0.14, Kurtosis = 1, MValue = 2
-------------------- Histogram --------------------
[19.033 μs ; 20.664 μs) | @
[20.664 μs ; 22.256 μs) | @@@
---------------------------------------------------

Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=25]
Runtime = .NET 5.0.9 (5.0.921.35908), X64 RyuJIT; GC = Concurrent Workstation
Mean = 22.431 μs, StdErr = 0.455 μs (2.03%), N = 5, StdDev = 1.017 μs
Min = 21.334 μs, Q1 = 21.691 μs, Median = 22.138 μs, Q3 = 23.371 μs, Max = 23.622 μs
IQR = 1.679 μs, LowerFence = 19.173 μs, UpperFence = 25.889 μs
ConfidenceInterval = [18.515 μs; 26.348 μs] (CI 99.9%), Margin = 3.916 μs (17.46% of Mean)
Skewness = 0.15, Kurtosis = 0.85, MValue = 2
-------------------- Histogram --------------------
[20.956 μs ; 22.716 μs) | @@@
[22.716 μs ; 24.403 μs) | @@
---------------------------------------------------

Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=50]
Runtime = .NET 5.0.9 (5.0.921.35908), X64 RyuJIT; GC = Concurrent Workstation
Mean = 21.349 μs, StdErr = 0.556 μs (2.60%), N = 5, StdDev = 1.243 μs
Min = 19.633 μs, Q1 = 20.926 μs, Median = 21.148 μs, Q3 = 22.145 μs, Max = 22.895 μs
IQR = 1.218 μs, LowerFence = 19.099 μs, UpperFence = 23.973 μs
ConfidenceInterval = [16.561 μs; 26.138 μs] (CI 99.9%), Margin = 4.788 μs (22.43% of Mean)
Skewness = -0.1, Kurtosis = 1.24, MValue = 2
-------------------- Histogram --------------------
[18.679 μs ; 20.581 μs) | @
[20.581 μs ; 22.490 μs) | @@@
[22.490 μs ; 23.849 μs) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.13.1, OS=macOS Monterey 12.0.1 (21A559) [Darwin 21.1.0]
Apple M1 2.40GHz, 1 CPU, 8 logical and 8 physical cores
.NET SDK=5.0.400
  [Host]     : .NET 5.0.9 (5.0.921.35908), X64 RyuJIT
  Job-DTJHNO : .NET 5.0.9 (5.0.921.35908), X64 RyuJIT

IterationCount=5  RunStrategy=Throughput  WarmupCount=5  

|      Method | Dimension |     Mean |    Error |   StdDev |  Gen 0 | Allocated |
|------------ |---------- |---------:|---------:|---------:|-------:|----------:|
| OneThreaded |         5 | 19.25 μs | 0.731 μs | 0.190 μs | 1.0071 |      2 KB |
| OneThreaded |        10 | 21.04 μs | 6.224 μs | 0.963 μs | 1.0071 |      2 KB |
| OneThreaded |        25 | 22.43 μs | 3.916 μs | 1.017 μs | 1.0071 |      2 KB |
| OneThreaded |        50 | 21.35 μs | 4.788 μs | 1.243 μs | 1.0071 |      2 KB |

// * Hints *
Outliers
  Benchmarking.OneThreaded: IterationCount=5, RunStrategy=Throughput, WarmupCount=5 -> 1 outlier  was  removed (24.22 μs)

// * Legends *
  Dimension : Value of the 'Dimension' parameter
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 μs      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:40 (40.78 sec), executed benchmarks: 4

Global total time: 00:00:52 (52.35 sec), executed benchmarks: 4
// * Artifacts cleanup *
